Title,Name,Name
Let There Be Rock,AC/DC,Go Down
Let There Be Rock,AC/DC,Dog Eat Dog
Let There Be Rock,AC/DC,Let There Be Rock
Let There Be Rock,AC/DC,Bad Boy Boogie
Let There Be Rock,AC/DC,Problem Child
Let There Be Rock,AC/DC,Overdose
Let There Be Rock,AC/DC,Hell Ain't A Bad Place To Be
Let There Be Rock,AC/DC,Whole Lotta Rosie
Big Ones,Aerosmith,Walk On Water
Big Ones,Aerosmith,Love In An Elevator
Big Ones,Aerosmith,Rag Doll
Big Ones,Aerosmith,What It Takes
Big Ones,Aerosmith,Dude (Looks Like A Lady)
Big Ones,Aerosmith,Janie's Got A Gun
Big Ones,Aerosmith,Cryin'
Big Ones,Aerosmith,Amazing
Big Ones,Aerosmith,Blind Man
Big Ones,Aerosmith,Deuces Are Wild
Big Ones,Aerosmith,The Other Side
Big Ones,Aerosmith,Crazy
Big Ones,Aerosmith,Eat The Rich
Big Ones,Aerosmith,Angel
Big Ones,Aerosmith,Livin' On The Edge
